,Address,City,Price,Bedroom,Bathroom,Floors,Parking,Face,Area
27,Sital height,Lalitpur,22000000,7,4,3.50,2,South,4.50
28,Pepsicola,Kathmandu,58500000,6,6,3.00,2,East,6.50
29,Bojepokhari,Lalitpur,18500000,4,3,2.50,1,East,3.00
30,Bojepokhari,Lalitpur,21000000,4,3,2.50,1,East,3.50
31,Swastik Tole,Lalitpur,17500000,5,3,3.00,1,South,48.50
32,Baluwatar,Kathmandu,130000000,5,6,3.00,3,East,10.00
33,Budhanilkantha,Kathmandu,105000000,8,8,4.00,4,East,21.00
34,Budhanilkantha,Kathmandu,105000000,5,5,3.00,4,South,64.00
35,Kapan,Kathmandu,27500000,6,5,3.00,1,East,4.00
36,Mandikatar,Kathmandu,40000000,7,7,4.00,2,East,7.00
37,Hattigauda,Kathmandu,26500000,6,6,3.00,2,West,5.00
38,Nearby Bhatbhateni Super market,Bhaktapur,50,0,2,3.50,2,West,7.30
39,Budhanilkantha,Kathmandu,22500000,6,6,3.00,1,North East,3.10
40,Budhanilkantha,Kathmandu,60000000,6,6,3.00,4,South East,11.00
41,Baluwatar,Kathmandu,250000000,6,5,3.00,10,East,30.00
42,Tokha,Kathmandu,40000000,9,6,4.00,3,East,9.00
43,Sukedhara,Kathmandu,30000000,6,5,3.00,1,East,3.50
44,Maligaon,Kathmandu,65000000,6,6,3.00,4,East,12.00
45,Budhanilkantha,Kathmandu,33000000,5,6,3.00,2,North,5.00
46,Man,Kathmandu,30500000,5,5,2.00,1,West,4.00
47,Mandikatar,Kathmandu,14000000,2,2,1.00,1,South West,3.10
48,Budhanilkantha,Kathmandu,28000000,6,6,3.00,1,South East,4.00
49,Tokha,Kathmandu,41000000,10,5,4.00,3,South East,4.00
50,Budhanilkantha,Kathmandu,27000000,6,6,3.00,2,East,4.50
51,Tokha,Kathmandu,22000000,5,5,3.00,1,East,3.10
52,Budhanilkantha,Kathmandu,37000000,5,5,3.00,3,South East,8.00
53,Chandol,Kathmandu,46000000,4,3,2.50,1,South West,6.75
54,Piple Chautari Tole (Naya Basti),Kathmandu,22500000,5,3,3.00,1,East,4.00
55,Rose Village Balkot,Bhaktapur,29000000,3,3,2.00,2,North,4.50
56,Nayabazar-16,Kathmandu,31000000,3,4,3.00,1,East,3.00
57,Commercial land sale in Satungal,Kathmandu,42500000,0,0,0.00,0,West,5.31
58,pasikot/Budhanilkantha,Kathmandu,37500000,5,5,3.00,2,South East,5.00
59,Nagpokhari road,Kathmandu,13000000,2,1,1.00,1,West,3.10
60,Muhanpokhari Budhanilkantha,Kathmandu,105000000,4,3,0.00,4,South,64.00
61,Shree Marga,Kathmandu,80000000,4,5,0.00,4,West,9.94
62,Nakkhudol Bhaisepati,Lalitpur,25000000,3,4,2.00,2,East,4.50
63,Gamcha,Bhaktapur,32500000,4,4,2.00,4,South,7.00
64,jorpati makalbari near sano pool,Kathmandu,21000000,5,3,3.00,1,South West,0.00
65,Aananda Colony,Chitwan,16000000,3,4,2.00,1,West,0.00
66,Raniban,Kathmandu,120000000,0,0,0.00,0,West,31.00
67,Jerauna,Chitwan,7700000,4,2,2.00,1,East,6.00
68,Sundar Tole,Kathmandu,20000000,7,3,2.50,2,West,4.31
69,Darjeling Height,Bhaktapur,19000000,7,4,3.50,1,West,3.00
70,Hepali,Kathmandu,33500000,0,4,3.00,2,South East,4.00
71,Mhepi,Kathmandu,37000000,0,0,0.00,0,North East,5.12
72,Chyasingdol,Kathmandu,36000000,0,0,0.00,0,East,7.50
73,Harihar Marg,Kathmandu,40000000,8,4,3.00,5,South,0.00
74,Nearby Cozy Homes,Lalitpur,12500000,2,1,1.00,1,West,3.00
75,Nearby Cozy Homes,Lalitpur,19500000,5,3,2.50,1,East,3.25
76,Sanagaun Height,Lalitpur,22000000,5,3,2.50,1,West,3.50
77,Sanagaun Height,Lalitpur,21500000,4,3,2.50,1,East,4.00
78,Sanagaun height,Lalitpur,19500000,4,3,2.50,1,North East,3.50
79,Nearby,Lalitpur,19000000,4,3,2.50,1,South,3.00
80,Nearby,Lalitpur,18000000,4,3,2.50,1,South,3.00
81,Swoyambhu,Kathmandu,37000000,8,5,3.00,2,South,5.44
82,Swoyambhu,Kathmandu,34000000,6,3,3.00,1,South,4.00
83,Nayagaun,Butwal,800000,2,1,1.00,1,South,1.24
84,Imadol,Lalitpur,21000000,0,3,3.00,1,East,0.40
85,Basukinagtole,Kathmandu,26000000,8,4,3.00,1,South,4.12
86,Syuchatar,Kathmandu,22000000,5,3,0.00,1,South West,6.50
87,Phutung Tushal,Kathmandu,23000000,7,3,0.00,1,North East,4.00
88,Thulo bharyang,Kathmandu,25000000,8,4,5.00,0,North,nan
89,Jarankhu,Kathmandu,15500000,5,2,0.00,1,North West,3.62
90,Imadole,Lalitpur,23500000,6,4,3.00,1,North,3.30
91,Maharajgunj Ganeshbasti,Kathmandu,57500000,0,0,0.00,0,North East,6.25
92,Baluwatar,Kathmandu,90000000,5,5,0.00,3,South East,10.00
93,Nearby L.R.I School.,Kathmandu,17000000,4,3,2.50,1,North West,4.00
94,Opposite of Green hill city,Lalitpur,12500000,2,1,1.50,1,South,3.25
95,Milan Chowk,Bhaktapur,2100000,0,0,0.00,0,North East,0.00
